            size,            time,            flop,        bandwith
             200,        0.000014,        5.651562,       45.439122
             500,        0.000091,        5.502314,       44.106635
             900,        0.000379,        4.267640,       34.179078
            1300,        0.000892,        3.789140,       30.336444
            1700,        0.001521,        3.798365,       30.404796
            2100,        0.002370,        3.721355,       29.785022
            2500,        0.003261,        3.832531,       30.672514
            2900,        0.004398,        3.823737,       30.600444
            3300,        0.006015,        3.620598,       28.973560
            3700,        0.007800,        3.509733,       28.085450
            4100,        0.012194,        2.756669,       22.058734
            4500,        0.011235,        3.604406,       28.841656
            4900,        0.013231,        3.629117,       29.038859
            5300,        0.015011,        3.742124,       29.942637
            5700,        0.020557,        3.160661,       25.289721
            6100,        0.021412,        3.475375,       27.807560
            6500,        0.022365,        3.777916,       30.227976
            6900,        0.028248,        3.370574,       26.968504
            7300,        0.028230,        3.775103,       30.204960
            7700,        0.033526,        3.536691,       28.297202
            8100,        0.038060,        3.447473,       27.583191
            8500,        0.043792,        3.299518,       26.399249
            8900,        0.046277,        3.423121,       27.388042
            9300,        0.051222,        3.376869,       27.017858
            9700,        0.055682,        3.379379,       27.037818
           10100,        0.057429,        3.552405,       28.422055
           10500,        0.061778,        3.569042,       28.555057
           10900,        0.064945,        3.658597,       29.271459
           11300,        0.072672,        3.513982,       28.114344
           11700,        0.076127,        3.596222,       28.772232
           12100,        0.084572,        3.462252,       27.700307
           12500,        0.088867,        3.516353,       28.133078
           12900,        0.096308,        3.455665,       27.647465
           13300,        0.101685,        3.479040,       27.834415
           13700,        0.113183,        3.316465,       26.533659
           14100,        0.115171,        3.452314,       27.620473
           14500,        0.126567,        3.322249,       26.579827
           14900,        0.134893,        3.291524,       26.333960
           15300,        0.150776,        3.105032,       24.841882
           15700,        0.152227,        3.238349,       25.908440
           16100,        0.153355,        3.380411,       27.044969
           16500,        0.182990,        2.975482,       23.805297
           16900,        0.174775,        3.268222,       26.147324
           17300,        0.180279,        3.320200,       26.563137
           17700,        0.189588,        3.304868,       26.440435
           18100,        0.205979,        3.180920,       25.448767
           18300,        0.216793,        3.089404,       24.716583
           18500,        0.212405,        3.222528,       25.781616
           19300,        0.221257,        3.366950,       26.936994
           19700,        0.233954,        3.317573,       26.541935
           20500,        0.255237,        3.292939,       26.344794
           20900,        0.287974,        3.033604,       24.269992
           21300,        0.286724,        3.164571,       25.317760
           22100,        0.293591,        3.327073,       26.617786
           22500,        0.300769,        3.366293,       26.931545
           23000,        0.317469,        3.332535,       26.661436
